batch_id,reactor,shift,temperature,pressure,feed_rate,conversion,yield,impurity
B0034,R1,day,397.2,3.5,72.4,0.792,0.88,0.082
B0035,R2,day,391.2,2.64,103.7,0.886,0.886,0.077
B0036,R1,night,384.9,3.21,109.3,0.758,0.823,0.075
B0037,R3,night,443.0,2.74,108.0,0.825,0.622,0.09
B0038,R1,day,433.1,2.18,59.1,0.784,0.539,0.089
B0039,R3,night,446.5,4.79,137.7,0.856,0.774,0.075
B0040,R3,day,362.4,4.05,76.6,0.629,0.676,0.116
B0041,R1,day,423.1,1.56,63.0,0.621,0.549,0.122
B0042,R2,day,443.8,4.47,138.9,0.686,0.698,0.07
B0043,R3,day,368.1,2.95,145.6,0.656,0.514,0.126
B0044,R1,night,356.6,4.58,136.2,0.905,0.864,0.078
B0045,R1,night,424.1,4.2,131.0,0.677,0.604,0.092
B0046,R2,night,407.4,2.7,115.5,0.942,0.765,0.088
B0047,R3,day,434.2,1.09,105.1,0.718,0.625,0.107
B0048,R3,night,364.0,2.07,58.7,0.664,0.708,0.071
B0049,R1,day,429.5,3.17,90.8,0.876,0.719,0.099
B0050,R1,night,370.2,3.53,87.3,0.831,0.574,0.125
B0051,R2,day,366.4,2.03,76.0,0.774,0.888,0.088
B0052,R2,day,366.4,1.56,122.3,0.794,0.81,0.1
B0053,R3,day,431.5,4.34,99.6,0.852,0.876,0.041
B0054,R3,night,416.5,4.94,58.1,0.68,0.858,0.053
B0055,R1,night,402.3,3.1,72.0,0.949,0.739,0.099
B0056,R3,night,385.9,1.69,118.3,0.941,0.869,0.08
B0057,R2,night,437.7,2.09,57.6,0.828,0.535,0.13
B0058,R2,day,389.2,1.07,135.1,0.67,0.578,0.15
B0059,R1,night,431.7,4.66,99.5,0.838,0.518,0.134
B0060,R2,night,393.9,1.47,98.1,0.625,0.63,0.128
B0061,R2,day,387.7,3.31,109.2,0.611,0.655,0.121
B0062,R2,day,396.3,2.1,132.5,0.69,0.609,0.122
B0063,R2,day,380.1,3.22,84.8,0.762,0.831,0.069
B0064,R1,night,424.8,3.61,117.8,0.904,0.643,0.119
B0065,R1,day,400.3,4.32,106.6,0.855,0.612,0.093
B0066,R3,day,373.2,1.83,76.7,0.86,0.717,0.088
B0067,R2,day,440.0,1.04,137.9,0.749,0.556,0.107
B0068,R3,night,388.4,1.55,129.7,0.721,0.821,0.079
B0069,R1,day,404.4,4.6,115.8,0.73,0.53,0.15
B0070,R1,night,440.6,4.5,135.1,0.946,0.895,0.028
B0071,R1,night,412.4,3.39,136.7,0.614,0.809,0.092
B0072,R1,day,361.7,3.4,120.8,0.903,0.579,0.081
B0073,R1,day,444.0,3.66,133.7,0.803,0.502,0.115
B0074,R1,night,412.8,1.7,119.7,0.754,0.826,0.098
B0075,R1,day,383.5,4.66,118.0,0.854,0.783,0.084
B0076,R2,day,363.9,2.68,111.9,0.77,0.792,0.06
B0077,R3,night,429.4,2.53,125.3,0.906,0.809,0.064
B0078,R1,night,412.0,3.08,65.9,0.915,0.53,0.134
B0079,R2,day,403.3,1.19,138.1,0.748,0.643,0.089
B0080,R2,night,439.4,1.67,137.2,0.697,0.546,0.122
B0081,R3,day,428.9,3.95,52.9,0.807,0.845,0.074
B0082,R1,day,365.2,1.33,132.6,0.919,0.749,0.075
B0083,R3,day,381.2,3.41,62.9,0.674,0.632,0.148
B0084,R1,night,374.8,1.98,83.5,0.818,0.525,0.134
B0085,R2,day,424.4,2.56,124.4,0.821,0.624,0.066
B0086,R2,day,353.4,2.15,66.1,0.857,0.63,0.109
B0087,R2,day,407.0,2.42,131.8,0.646,0.792,0.068
B0088,R2,night,426.2,3.88,133.2,0.851,0.755,0.104
B0089,R3,night,437.7,2.19,100.7,0.918,0.855,0.056
B0090,R1,night,384.2,3.27,50.6,0.663,0.689,0.094
B0091,R1,night,432.1,2.9,78.7,0.683,0.548,0.128
B0092,R3,night,361.1,3.65,111.7,0.94,0.785,0.1
B0093,R1,day,434.6,4.75,148.1,0.663,0.804,0.055
B0094,R2,night,362.7,3.93,113.2,0.899,0.725,0.085
B0095,R1,night,389.7,1.86,76.0,0.772,0.808,0.069
B0096,R2,night,429.7,1.12,113.4,0.687,0.698,0.082
B0097,R3,day,365.0,2.05,104.0,0.905,0.709,0.129
B0098,R1,night,372.9,3.38,128.0,0.756,0.671,0.107
B0099,R3,night,422.2,1.21,60.7,0.78,0.51,0.098
B0100,R1,day,422.0,2.99,126.1,0.726,0.543,0.137
B0101,R2,night,414.1,3.39,104.1,0.808,0.513,0.15
B0102,R3,day,419.4,2.34,146.3,0.657,0.755,0.107
B0103,R1,day,404.3,4.08,84.2,0.737,0.626,0.076
B0104,R2,day,375.2,1.43,113.3,0.939,0.703,0.085
B0105,R3,day,384.6,1.3,143.2,0.69,0.863,0.096
B0106,R3,day,368.2,3.91,60.3,0.83,0.6,0.096
B0107,R1,night,440.8,2.98,143.7,0.714,0.664,0.109
B0108,R1,day,408.3,3.75,118.8,0.871,0.802,0.095
B0109,R1,day,390.1,2.74,56.8,0.646,0.592,0.093
B0110,R2,night,396.2,1.99,80.1,0.939,0.531,0.119
B0111,R1,day,444.7,4.28,120.8,0.759,0.616,0.043
B0112,R3,night,365.3,4.2,56.7,0.683,0.564,0.095
B0113,R3,night,408.6,3.78,108.2,0.626,0.872,0.064
B0114,R1,night,400.6,2.09,84.6,0.659,0.823,0.052
B0115,R1,day,411.1,3.36,112.1,0.782,0.753,0.12
B0116,R3,day,351.8,2.44,54.6,0.718,0.849,0.044
B0117,R2,day,437.2,1.37,137.2,0.89,0.821,0.068
B0118,R1,night,443.2,4.67,147.3,0.751,0.575,0.116
B0119,R1,day,406.5,1.55,146.9,0.687,0.857,0.1
B0120,R3,day,419.7,4.8,125.0,0.816,0.716,0.064
B0121,R1,day,442.2,2.78,63.0,0.847,0.823,0.1
B0122,R2,night,420.7,1.74,125.8,0.658,0.858,0.071
B0123,R3,night,365.3,3.17,52.5,0.659,0.627,0.086
B0124,R1,day,407.6,4.49,52.2,0.613,0.544,0.128
B0125,R3,day,410.7,3.93,82.4,0.858,0.591,0.115
B0126,R1,day,392.4,4.23,98.9,0.832,0.671,0.087
B0127,R1,day,423.6,3.64,127.0,0.766,0.827,0.077
B0128,R1,night,443.4,3.77,118.3,0.895,0.844,0.066
B0129,R2,night,442.6,4.4,94.6,0.882,0.503,0.127
B0130,R2,night,395.1,2.0,77.4,0.805,0.704,0.108
B0131,R3,night,361.3,2.96,149.7,0.904,0.667,0.132
B0132,R1,day,448.5,1.88,92.6,0.672,0.589,0.087
B0133,R1,day,433.9,4.95,95.1,0.639,0.548,0.15
B0134,R2,day,362.5,4.78,66.4,0.694,0.635,0.066
B0135,R1,night,442.1,1.16,129.5,0.62,0.877,0.065
B0136,R2,day,437.0,3.82,119.4,0.786,0.629,0.117
B0137,R1,night,401.9,4.7,72.1,0.928,0.708,0.099
B0138,R3,night,409.1,1.72,58.2,0.614,0.781,0.07
B0139,R1,day,389.9,3.27,118.0,0.643,0.645,0.099
B0140,R1,day,355.5,4.66,115.5,0.758,0.889,0.057
B0141,R2,day,383.5,1.14,77.3,0.927,0.885,0.055
B0142,R1,night,430.3,3.79,145.1,0.711,0.601,0.127
B0143,R1,day,350.5,2.19,65.1,0.778,0.699,0.102
B0144,R2,night,383.3,4.7,93.2,0.615,0.62,0.093
B0145,R3,day,389.8,4.88,144.4,0.652,0.614,0.126
B0146,R3,night,403.7,4.78,92.0,0.945,0.515,0.129
B0147,R2,night,442.0,2.9,113.9,0.938,0.744,0.105
B0148,R2,day,384.6,4.45,89.8,0.602,0.701,0.107
B0149,R2,night,384.7,4.38,77.4,0.933,0.521,0.105
B0150,R2,night,423.8,2.28,148.4,0.824,0.611,0.097
B0151,R2,day,395.2,4.32,90.9,0.904,0.863,0.085
B0152,R3,night,372.5,1.15,139.4,0.759,0.596,0.123
B0153,R3,day,395.2,3.39,73.0,0.78,0.558,0.116
B0154,R2,night,364.1,1.92,71.3,0.771,0.696,0.098
B0155,R1,day,367.6,1.48,53.1,0.833,0.894,0.091
B0156,R2,day,399.8,1.31,115.2,0.649,0.597,0.099
B0157,R1,night,391.9,3.79,86.9,0.61,0.769,0.096
B0158,R2,night,441.5,2.36,136.4,0.708,0.805,0.075
B0159,R2,night,386.2,3.9,97.3,0.847,0.595,0.106
B0160,R3,night,408.1,1.26,146.8,0.671,0.791,0.103
B0161,R1,night,413.2,2.26,68.6,0.836,0.647,0.119
B0162,R1,day,351.3,3.16,136.9,0.939,0.753,0.103
B0163,R3,night,416.4,4.16,127.7,0.633,0.753,0.113
B0164,R3,day,367.8,2.28,127.1,0.835,0.714,0.093
B0165,R3,day,446.1,3.5,134.5,0.755,0.536,0.133
B0166,R3,night,364.9,4.54,126.1,0.904,0.834,0.069
B0167,R1,day,391.5,3.46,112.6,0.662,0.628,0.112
B0168,R1,day,358.5,1.93,63.1,0.842,0.575,0.111
B0169,R2,day,449.7,1.1,53.3,0.893,0.516,0.124
B0170,R2,day,400.2,4.48,142.1,0.931,0.736,0.101
B0171,R3,night,409.5,1.09,111.7,0.839,0.771,0.068
B0172,R3,day,356.7,4.5,129.7,0.774,0.507,0.15
B0173,R3,night,425.0,3.12,98.2,0.816,0.705,0.074
B0174,R2,night,371.0,4.76,61.7,0.904,0.591,0.087
B0175,R2,day,439.8,4.2,62.5,0.8,0.758,0.109
B0176,R2,night,370.5,4.99,118.6,0.611,0.57,0.13
B0177,R2,night,369.1,2.4,93.0,0.926,0.776,0.096
B0178,R2,night,353.7,4.07,70.1,0.841,0.655,0.114
B0179,R2,day,397.2,2.61,99.2,0.837,0.875,0.069
B0180,R2,night,406.5,2.92,56.4,0.675,0.555,0.099
B0181,R3,night,356.6,3.51,108.2,0.831,0.636,0.106
B0182,R3,night,427.6,4.49,76.9,0.738,0.545,0.105
B0183,R3,day,395.3,4.94,129.8,0.828,0.87,0.089
B0184,R3,night,402.4,4.07,81.0,0.637,0.851,0.069
B0185,R2,day,394.1,2.67,95.5,0.83,0.603,0.093
B0186,R1,day,390.1,2.69,51.2,0.95,0.764,0.079
B0187,R2,day,406.0,3.95,57.2,0.617,0.827,0.084
B0188,R1,day,365.5,1.96,89.2,0.942,0.722,0.08
B0189,R3,day,368.2,1.44,98.0,0.742,0.712,0.077
B0190,R2,day,436.2,2.42,110.0,0.905,0.597,0.115
B0191,R3,night,444.6,2.15,79.2,0.874,0.537,0.124
B0192,R2,day,387.3,2.19,119.5,0.798,0.859,0.061
B0193,R3,night,377.1,1.93,136.0,0.858,0.86,0.062
B0194,R1,night,414.4,1.17,128.0,0.907,0.753,0.092
B0195,R1,day,390.9,1.07,54.0,0.741,0.636,0.076
B0196,R1,night,352.5,4.95,98.1,0.714,0.64,0.076
B0197,R2,night,365.6,2.71,60.5,0.834,0.79,0.067
B0198,R1,night,421.6,2.54,74.2,0.883,0.859,0.067
B0199,R2,night,415.9,3.72,148.7,0.867,0.855,0.078
B0200,R1,day,352.7,1.87,64.2,0.879,0.812,0.108
